Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 8.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /Akademiki",Wesela,"Puby,Kawiarnie,Restauracje,Kluby","Inne przypadkizachorowań"
1,bocheński,446,106 858,"41,74",30,378,31,3,125,13,240,0,12,17,0,26,0,10
2,brzeski,151,93 201,"16,20",2,99,48,3,33,50,1,2,1,0,0,0,21,40
3,chrzanowski,89,124 536,"7,15",3,55,31,1,35,1,0,0,16,0,0,2,0,34
4,dąbrowski,47,59 174,"7,94",0,37,10,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,150,108 886,"13,78",2,102,46,2,97,5,0,0,0,5,0,0,0,41
6,krakowski,371,279 239,"13,29",3,244,124,6,120,28,0,0,5,0,0,2,4,206
7,limanowski,571,131 764,"43,34 / 10,78",8,420,142,0,354,29,0,0,0,0,0,0,0,188
8,miechowski,49,48 818,"10,04",0,35,14,0,25,0,0,0,0,0,0,0,0,24
9,myślenicki,316,127 600,"24,76",0,262,54,0,154,21,0,0,54,0,0,2,0,85
10,nowosądecki,1 295,216 796,"59,73 / 21,45",16,814,465,7,814,45,64,1,275,2,0,19,0,68
11,nowotarski,625,191 782,"32,59 / 12,67",11,371,243,2,299,70,0,0,7,2,0,0,0,245
12,olkuski,67,111 217,"6,02",0,40,27,4,7,8,0,0,20,0,0,0,0,28
13,oświęcimski,393,153 486,"25,60",6,327,60,2,208,16,0,0,0,0,0,0,0,167
14,proszowicki,39,43 222,"9,02",2,27,10,2,7,7,2,0,0,0,0,0,0,21
15,suski,277,84 232,"32,89",2,250,25,2,140,4,0,0,55,0,0,19,0,57
16,tarnowski,288,201 497,"14,29",9,227,52,6,162,3,56,0,0,0,0,0,0,61
17,tatrzański,282,68 072,"41,43",4,239,39,2,171,13,0,0,16,0,0,0,0,80
18,wadowicki,306,160 006,"19,12",6,193,107,0,182,27,1,0,7,0,0,0,0,89
19,wielicki,294,129 136,"22,77",5,172,116,1,227,9,0,0,2,0,0,0,0,55
20,m. Kraków,1 721,779 115,"22,09",29,1 133,559,32,446,131,0,0,25,0,0,34,32,1 021
21,m. Nowy Sącz,498,83 794,"59,43 / 28,40",13,247,238,3,264,17,105,0,102,0,0,7,0,0
22,m. Tarnów,78,108 470,"7,19",0,55,23,8,22,3,0,0,0,0,0,0,0,45
"RazemMałopolska",8 353,3 410 901,"24,49",151,5 727,2 464,88,3 930,501,469,3,597,26,0,111,57,2 571,
