Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 06.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,140,7,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,37,124 536,"2,97",0,25,12,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,10,108 886,"0,92",0,7,3,1,6,1,0,0,2
6,krakowski,87,279 239,"3,12",1,67,19,4,38,19,0,0,26
7,limanowski,138,131 764,"10,47",3,104,31,0,78,25,0,0,35
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,150,9,0,86,18,0,0,55
10,nowosądecki,147,216 796,"6,78",0,31,116,7,140,0,0,0,0
11,nowotarski,16,191 782,"0,83",0,10,6,2,5,1,0,0,8
12,olkuski,15,111 217,"1,35",0,10,5,1,0,5,0,0,9
13,oświęcimski,107,153 486,"6,97",4,71,32,2,48,13,0,0,44
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,124,70,0,115,0,0,0,79
16,tarnowski,114,201 497,"5,66",3,28,83,3,83,2,22,0,4
17,tatrzański,8,68 072,"1,18",0,4,4,2,4,1,0,0,1
18,wadowicki,35,160 006,"2,19",2,19,14,0,17,4,0,0,14
19,wielicki,127,129 136,"9,83",5,116,5,1,117,9,0,0,0
20,m. Kraków,349,779 115,"4,48",19,251,79,23,108,99,0,0,119
21,m. Nowy Sącz,47,83 794,"5,61",0,28,19,3,43,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,13,1,8,3,2,0,0,1
"RazemMałopolska",1 863,3 410 901,"5,46",44,1 291,523,64,996,266,76,2,459,
