Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 13.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /akademiki",Wesela,"Puby,kawiarnie,restauracje,kluby","Inne przypadkizachorowań"
1,bocheński,448,106 858,"41,92",30,392,19,3,125,13,240,0,12,17,0,26,0,12
2,brzeski,154,93 201,"16,52",2,127,23,3,33,50,1,2,1,0,0,0,21,43
3,chrzanowski,93,124 536,"7,47",4,64,25,1,38,1,0,0,16,0,0,2,0,35
4,dąbrowski,49,59 174,"8,28",0,46,3,2,38,1,0,0,0,0,0,0,0,8
5,gorlicki,151,108 886,"13,87",2,120,29,2,97,5,0,0,0,5,0,0,0,42
6,krakowski,417,279 239,"14,93",3,277,137,6,130,30,0,0,5,0,0,2,4,240
7,limanowski,593,131 764,"45,00 / 10,40",8,447,137,0,357,29,0,0,0,0,0,0,0,207
8,miechowski,70,48 818,"14,34",0,43,27,0,26,0,0,0,0,0,0,0,0,44
9,myślenicki,364,127 600,"28,53",0,284,80,0,168,22,0,0,63,0,0,2,0,109
10,nowosądecki,1 306,216 796,"60,24 / 18,91",19,877,410,7,823,45,64,1,276,3,0,19,0,68
11,nowotarski,685,191 782,"35,72 / 11,11",12,460,213,2,322,69,0,0,10,4,0,0,0,278
12,olkuski,76,111 217,"6,83",0,55,21,4,7,8,0,0,20,3,0,0,0,34
13,oświęcimski,400,153 486,"26,06",6,346,48,2,210,16,0,0,0,0,0,0,0,172
14,proszowicki,43,43 222,"9,95",2,32,9,2,8,7,3,0,0,0,0,0,0,23
15,suski,292,84 232,"34,67",2,260,30,2,141,5,0,0,55,1,0,19,0,69
16,tarnowski,292,201 497,"14,49",9,248,35,6,162,3,56,0,0,0,0,0,0,65
17,tatrzański,310,68 072,"45,54",4,258,48,2,175,13,0,0,20,5,0,0,0,95
18,wadowicki,321,160 006,"20,06",6,241,74,0,186,28,1,0,7,0,0,0,0,99
19,wielicki,304,129 136,"23,54",5,260,37,1,232,9,0,0,2,0,0,0,0,60
20,m. Kraków,1 839,779 115,"23,60",29,1 283,527,32,461,136,0,0,25,0,0,34,32,1 119
21,m. Nowy Sącz,506,83 794,"60,39 / 25,90",13,276,217,3,272,17,105,0,102,0,0,7,0,0
22,m. Tarnów,81,108 470,"7,47",0,58,23,8,22,3,0,0,0,0,0,0,0,48
"RazemMałopolska",8 794,3 410 901,"25,78",156,6 454,2 172,88,4 033,510,470,3,614,38,0,111,57,2 870,
