"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 6.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,518,"48,48",30,421,59,3,134,20,240,0,12,23,0,0,31,0,0,55
"",2,brzeski,189,"20,28",2,156,29,3,35,58,12,2,2,0,0,0,0,21,0,56
"",3,chrzanowski,202,"16,22",4,100,98,1,40,16,23,2,16,0,0,0,8,0,0,96
"",4,dąbrowski,74,"12,51",1,53,20,2,41,4,0,0,0,0,0,0,0,0,0,27
"",5,gorlicki,191,"17,54",2,151,38,2,90,9,0,0,0,9,0,0,13,0,0,68
"",6,krakowski,699,"25,03",6,581,112,6,177,45,14,0,11,4,0,0,2,4,0,436
"",7,limanowski,878,"66,63 / 14,12",10,681,186,0,367,29,34,0,0,10,0,0,0,0,1,437
"",8,miechowski,124,"25,40",1,78,45,0,37,0,0,0,3,0,0,0,0,0,0,84
"",9,myślenicki,774,"60,66 / 23,04",2,478,294,0,235,28,24,0,76,15,0,0,2,0,0,394
"",10,nowosądecki,1 534,"70,76",28,1 331,175,7,961,83,64,1,299,25,0,0,20,0,0,74
"",11,nowotarski,1 114,"58,09 / 21,33",21,681,409,2,392,83,25,0,34,7,0,0,0,0,1,570
"",12,olkuski,209,"18,79",1,131,77,4,15,8,1,0,50,13,0,0,2,0,0,116
"",13,oświęcimski,535,"34,86",8,406,121,2,220,42,2,0,0,0,0,0,0,0,0,269
"",14,proszowicki,78,"18,05",3,58,17,2,8,9,27,0,0,0,0,0,0,0,0,32
"",15,suski,437,"51,88",6,357,74,2,162,5,15,0,62,7,0,0,19,0,0,165
"",16,tarnowski,360,"17,87",9,283,67,6,166,13,56,0,0,0,0,0,0,0,0,119
"",17,tatrzański,534,"78,45 / 26,74",8,342,182,2,181,45,39,0,39,29,0,0,0,0,0,199
"",18,wadowicki,527,"32,94 / 11,81",9,329,189,0,206,42,53,0,16,11,0,0,0,0,0,199
"",19,wielicki,415,"32,14",7,306,100,1,246,9,0,0,2,0,0,0,0,0,0,157
"",20,m. Kraków,2 630,"33,76",38,2 122,469,33,519,210,3,16,51,13,0,32,34,32,0,1 687
"",21,m. Nowy Sącz,595,"71,01",17,503,75,3,326,33,106,0,114,4,0,0,7,0,0,2
"",22,m. Tarnów,126,"11,62",1,85,40,8,27,8,0,0,0,0,0,0,0,0,83,0
"RazemMałopolska",12 743,"37,36",214,9 633,2 876,89,4 585,799,738,21,787,170,0,32,138,57,85,5 242,,
