Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 17.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,397,106 858,"37,15 / 19,18",24,161,205,3,96,13,240,0,45
2,brzeski,98,93 201,"10,51",2,68,26,3,16,49,0,2,28
3,chrzanowski,55,124 536,"4,42",0,36,19,1,25,1,,,28
4,dąbrowski,34,59 174,"5,75",0,17,17,2,31,1,0,0,0
5,gorlicki,96,108 886,"8,82",1,17,78,2,67,5,0,0,22
6,krakowski,186,279 239,"6,66",3,90,93,4,71,20,0,0,91
7,limanowski,355,131 764,"26,94 / 14,80",7,153,195,0,238,25,0,0,92
8,miechowski,23,48 818,"4,71",0,15,8,0,12,0,0,0,11
9,myślenicki,234,127 600,"18,34",0,175,59,0,129,20,0,0,85
10,nowosądecki,1 006,216 796,"46,40 / 34,27",6,257,743,7,999,0,0,0,0
11,nowotarski,286,191 782,"14,91 / 13,19",3,30,253,2,140,27,0,0,117
12,olkuski,35,111 217,"3,15",0,15,20,3,0,7,0,0,25
13,oświęcimski,306,153 486,"19,94 / 12,05",6,115,185,2,155,15,0,0,134
14,proszowicki,25,43 222,"5,78",2,12,11,,4,7,2,,12
15,suski,243,84 232,"28,85",2,199,42,0,149,2,0,0,92
16,tarnowski,208,201 497,"10,32",5,110,93,6,105,3,56,0,38
17,tatrzański,198,68 072,"29,09 / 24,09",1,33,164,2,133,7,0,0,56
18,wadowicki,195,160 006,"12,19",4,58,133,0,144,5,0,0,46
19,wielicki,213,129 136,"16,49",5,127,80,1,183,9,0,0,20
20,m. Kraków,997,779 115,"12,80",22,339,636,28,237,111,0,0,621
21,m. Nowy Sącz,325,83 794,"38,79 / 29,95",7,67,251,3,321,1,0,0,0
22,m. Tarnów,53,108 470,"4,89",0,16,37,8,16,3,0,0,26
"RazemMałopolska",5 568,3 410 901,"16,32",100,2 110,3 348,77,3 271,331,298,2,1 589,
