"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 19.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,455,106 858,"42,58",30,400,18,3,126,13,240,0,12,17,0,0,26,0,0,18
"",2,brzeski,164,93 201,"17,60",2,145,15,3,33,50,9,2,1,0,0,0,0,21,0,45
"",3,chrzanowski,106,124 536,"8,51",4,72,30,1,38,5,0,0,16,0,0,0,2,0,0,44
"",4,dąbrowski,51,59 174,"8,62",0,47,4,2,38,1,0,0,0,0,0,0,0,0,0,10
"",5,gorlicki,155,108 886,"14,24",2,143,10,2,84,5,0,0,0,5,0,0,13,0,0,46
"",6,krakowski,500,279 239,"17,91",4,361,135,6,138,33,1,0,5,2,0,0,2,4,0,309
"",7,limanowski,631,131 764,"47,89 / 10,32",8,486,136,0,357,29,0,0,0,3,0,0,0,0,1,241
"",8,miechowski,79,48 818,"16,18",0,46,33,0,26,0,0,0,0,0,0,0,0,0,0,53
"",9,myślenicki,429,127 600,"33,62",0,322,107,0,183,24,0,0,70,3,0,0,2,0,0,147
"",10,nowosądecki,1 337,216 796,"61,67 / 17,16",20,945,372,7,851,47,64,1,276,4,0,0,19,0,0,68
"",11,nowotarski,768,191 782,"40,05 / 12,41",14,515,238,2,345,70,1,0,16,7,0,0,0,0,1,326
"",12,olkuski,123,111 217,"11,06",0,64,59,4,15,8,0,0,39,7,0,0,0,0,0,50
"",13,oświęcimski,414,153 486,"26,97",8,369,37,2,212,17,0,0,0,0,0,0,0,0,0,183
"",14,proszowicki,62,43 222,"14,34",3,35,24,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,314,84 232,"37,28",2,275,37,2,142,5,0,0,55,2,0,0,19,0,0,89
"",16,tarnowski,293,201 497,"14,54",9,263,21,6,162,3,56,0,0,0,0,0,0,0,0,66
"",17,tatrzański,339,68 072,"49,80",4,276,59,2,175,13,0,0,27,15,0,0,0,0,0,107
"",18,wadowicki,348,160 006,"21,75",7,254,87,0,188,28,1,0,9,1,0,0,0,0,0,121
"",19,wielicki,314,129 136,"24,32",6,275,31,1,232,9,0,0,2,0,0,0,0,0,0,70
"",20,m. Kraków,1 955,779 115,"25,09",32,1 576,347,33,470,164,3,0,25,4,0,0,34,32,0,1 190
"",21,m. Nowy Sącz,518,83 794,"61,82 / 18,02",14,353,151,3,282,19,105,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,87,108 470,"8,02",1,64,22,8,22,4,0,0,0,0,0,0,0,0,0,53
"RazemMałopolska",9 442,3 410 901,"27,68",170,7 286,1 973,89,4 127,554,502,3,655,70,0,0,124,57,2,3 259,,
