Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 2.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,348,106 858,"32,57 / 17,03",17,147,182,3,80,12,228,0,25
2,brzeski,76,93 201,"8,15",2,65,7,3,6,49,0,2,16
3,chrzanowski,45,124 536,"3,61",0,33,12,1,18,0,0,0,26
4,dąbrowski,24,59 174,"4,06",0,15,9,2,21,1,0,0,0
5,gorlicki,49,108 886,"4,50",0,9,40,1,36,1,0,0,11
6,krakowski,119,279 239,"4,26",2,83,34,4,47,19,0,0,49
7,limanowski,223,131 764,"16,92",6,122,95,0,131,25,0,0,67
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,194,127 600,"15,20",0,158,36,0,105,18,0,0,71
10,nowosądecki,695,216 796,"32,06 / 26,71",3,113,579,7,688,0,0,0,0
11,nowotarski,97,191 782,"5,06",0,15,82,2,49,3,0,0,43
12,olkuski,18,111 217,"1,62",0,12,6,3,0,5,0,0,10
13,oświęcimski,222,153 486,"14,46",5,95,122,2,107,14,0,0,99
14,proszowicki,19,43 222,"4,40",2,9,8,0,3,6,1,0,9
15,suski,229,84 232,"27,19",1,190,38,0,139,2,0,0,88
16,tarnowski,164,201 497,"8,14",3,98,63,6,86,2,46,0,24
17,tatrzański,131,68 072,"19,24 / 18,07",0,8,123,2,95,1,0,0,33
18,wadowicki,161,160 006,"10,06",3,38,120,0,119,4,0,0,38
19,wielicki,159,129 136,"12,31",5,123,30,1,142,9,0,0,7
20,m. Kraków,545,779 115,"7,00",19,312,214,27,147,101,0,0,270
21,m. Nowy Sącz,203,83 794,"24,23 / 18,50",2,46,155,3,199,1,0,0,0
22,m. Tarnów,28,108 470,"2,58",0,16,12,8,4,3,0,0,13
"RazemMałopolska",3 768,3 410 901,"11,05",70,1 719,1 974,75,2 233,276,275,2,907,
