Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 28.06.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnychprzypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,139,10,2,65,12,54,0,19
2,brzeski,68,93 201,"7,30",2,64,2,2,5,48,0,2,11
3,chrzanowski,37,124 536,"2,97",0,19,18,1,18,0,0,0,18
4,dąbrowski,11,59 174,"1,86",0,11,0,2,8,1,0,0,0
5,gorlicki,7,108 886,"0,64",0,7,0,1,3,1,0,0,2
6,krakowski,86,279 239,"3,08",1,61,24,4,38,19,0,0,25
7,limanowski,119,131 764,"9,03",3,97,19,0,66,25,0,0,28
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,156,127 600,"12,23",0,149,7,0,83,18,0,0,55
10,nowosądecki,54,216 796,"2,49",0,30,24,7,47,0,0,0,0
11,nowotarski,13,191 782,"0,68",0,9,4,2,3,1,0,0,7
12,olkuski,11,111 217,"0,99",0,10,1,1,0,5,0,0,5
13,oświęcimski,103,153 486,"6,71",4,58,41,2,46,13,0,0,42
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03 / 12,35",0,90,104,0,115,0,0,0,79
16,tarnowski,108,201 497,"5,36",3,16,89,3,77,2,22,0,4
17,tatrzański,6,68 072,"0,88",0,3,3,1,3,1,0,0,1
18,wadowicki,32,160 006,"2,00",2,14,16,0,16,4,0,0,12
19,wielicki,127,129 136,"9,83",5,112,10,1,117,9,0,0,0
20,m. Kraków,335,779 115,"4,30",19,246,70,22,104,99,0,0,110
21,m. Nowy Sącz,29,83 794,"3,46",0,28,1,3,25,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,12,2,8,3,2,0,0,1
"RazemMałopolska",1 685,3 410 901,"4,94",44,1 193,448,62,847,266,76,2,432,
2)POLSKA,33 714,38 386 476,"8,78",,,,,,,,,,
