Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 06.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie/Akademiki",Wesela,"Puby,KawiarnieRestauracje,Kluby","Inne przypadkizachorowań"
1,bocheński,444,106 858,"41,55",30,376,31,3,126,13,240,0,11,17,0,26,0,8
2,brzeski,147,93 201,"15,77",2,99,44,3,30,50,0,2,1,0,0,0,21,40
3,chrzanowski,82,124 536,"6,58",3,55,24,1,30,1,0,0,16,0,0,2,0,32
4,dąbrowski,47,59 174,"7,94",0,35,12,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,144,108 886,"13,22",2,101,41,2,91,5,0,0,0,5,0,0,0,41
6,krakowski,355,279 239,"12,71",3,206,146,6,113,28,0,0,5,0,0,2,4,197
7,limanowski,558,131 764,"42,35 / 18,97",7,300,250,0,349,29,0,0,0,0,0,0,0,180
8,miechowski,46,48 818,"9,42",0,35,11,0,25,0,0,0,0,0,0,0,0,21
9,myślenicki,308,127 600,"24,14",0,255,53,0,151,21,0,0,51,0,0,2,0,83
10,nowosądecki,1 286,216 796,"59,32 / 22,46",14,785,487,7,809,44,64,0,274,1,0,19,0,68
11,nowotarski,614,191 782,"32,02 / 14,29",11,329,274,2,293,70,0,0,7,2,0,0,0,240
12,olkuski,64,111 217,"5,75",0,40,24,4,7,8,0,0,19,0,0,0,0,26
13,oświęcimski,392,153 486,"25,54",6,318,68,2,207,16,0,0,0,0,0,0,0,167
14,proszowicki,39,43 222,"9,02",2,26,11,2,7,7,2,0,0,0,0,0,0,21
15,suski,270,84 232,"32,05",2,249,19,2,136,3,0,0,55,0,0,19,0,55
16,tarnowski,286,201 497,"14,19",9,227,50,6,162,3,56,0,0,0,0,0,0,59
17,tatrzański,281,68 072,"41,28",4,230,47,2,171,13,0,0,16,0,0,0,0,79
18,wadowicki,303,160 006,"18,94",6,191,106,0,181,27,1,0,6,0,0,0,0,88
19,wielicki,288,129 136,"22,30",5,171,111,1,227,9,0,0,2,0,0,0,0,49
20,m. Kraków,1 640,779 115,"21,05",29,972,639,32,393,131,0,0,25,0,0,34,32,993
21,m. Nowy Sącz,498,83 794,"59,43 / 28,52",13,246,239,3,264,17,105,0,102,0,0,7,0,0
22,m. Tarnów,76,108 470,"7,01",0,55,21,8,22,3,0,0,0,0,0,0,0,43
"RazemMałopolska",8 168,3 410 901,"23,95",148,5 301,2 708,88,3 832,499,468,2,590,25,0,111,57,2 496,
