"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 10.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,570,"53,34",30,443,89,3,141,31,240,0,13,23,0,0,31,0,0,88
"",2,brzeski,229,"24,57",2,161,64,3,37,65,13,2,2,0,0,0,0,21,0,86
"",3,chrzanowski,258,"20,72 / 11,16",5,114,139,1,40,25,25,2,16,0,0,0,8,0,0,141
"",4,dąbrowski,94,"15,89",2,60,32,2,47,4,0,0,1,0,0,0,0,0,0,40
"",5,gorlicki,239,"21,95",2,158,79,2,101,17,0,0,0,10,0,0,13,0,0,96
"",6,krakowski,800,"28,65",6,663,131,6,182,46,15,0,12,4,0,0,2,4,0,529
"",7,limanowski,997,"75,67 / 20,04",11,721,264,0,368,45,39,0,0,12,0,0,0,0,1,532
"",8,miechowski,173,"35,44 / 18,23",1,83,89,0,46,0,0,0,14,0,0,0,0,0,0,113
"",9,myślenicki,926,"72,57 / 28,37",2,562,362,0,247,36,24,0,76,16,0,0,2,0,0,525
"",10,nowosądecki,1 638,"75,55 / 11,72",29,1 355,254,7,1 018,96,64,1,318,36,0,0,20,0,0,78
"",11,nowotarski,1 285,"67,00 / 26,85",24,743,515,2,403,90,25,28,58,8,0,0,0,0,1,670
"",12,olkuski,286,"25,72 / 11,33",3,157,126,4,15,8,2,1,53,16,0,0,2,0,0,185
"",13,oświęcimski,618,"40,26 / 12,05",13,420,185,2,221,51,26,0,0,0,0,0,0,0,0,318
"",14,proszowicki,99,"22,91",3,62,34,2,8,10,27,0,0,0,0,0,0,0,0,52
"",15,suski,603,"71,59 / 27,19",8,365,229,2,173,11,69,7,71,19,0,0,19,0,0,232
"",16,tarnowski,400,"19,85",9,303,87,6,181,14,56,0,9,0,0,0,0,0,0,134
"",17,tatrzański,623,"91,52 / 33,20",10,384,226,2,181,71,39,0,40,44,0,0,0,0,0,246
"",18,wadowicki,607,"37,94 / 15,87",11,341,254,0,218,51,53,0,22,19,0,0,0,0,0,244
"",19,wielicki,487,"37,71 / 12,47",7,317,161,1,252,11,0,0,5,2,0,0,0,0,0,216
"",20,m. Kraków,3 264,"41,89",41,2 537,685,33,532,221,90,17,55,13,0,36,34,32,0,2 201
"",21,m. Nowy Sącz,644,"76,86 / 11,46",18,530,96,3,353,38,106,0,124,6,0,0,7,1,0,6
"",22,m. Tarnów,163,"15,03",1,100,62,8,31,17,0,0,0,0,0,0,0,0,0,107
"RazemMałopolska",15 003,"43,99 / 12,20",238,10 579,4 163,89,4 795,958,913,58,889,228,0,36,138,58,2,6 839,,
