Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 05.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie/Akademiki",Wesela,"Puby,KawiarnieRestauracje,Kluby","Inne przypadkizachorowań"
1,bocheński,442,106 858,"41,36",30,375,30,3,125,13,240,0,11,17,0,26,0,7
2,brzeski,146,93 201,"15,67",2,99,43,3,29,50,0,2,1,0,0,0,21,40
3,chrzanowski,82,124 536,"6,58",3,55,24,1,30,1,0,0,16,0,0,2,0,32
4,dąbrowski,47,59 174,"7,94",0,30,17,2,38,1,0,0,0,0,0,0,0,6
5,gorlicki,144,108 886,"13,22",2,101,41,2,91,5,0,0,0,5,0,0,0,41
6,krakowski,346,279 239,"12,39",3,184,159,6,110,28,0,0,5,0,0,2,4,191
7,limanowski,558,131 764,"42,35 / 18,97",7,300,250,0,349,29,0,0,0,0,0,0,0,180
8,miechowski,45,48 818,"9,22",0,33,12,0,25,0,0,0,0,0,0,0,0,20
9,myślenicki,301,127 600,"23,59",0,254,47,0,150,21,0,0,47,0,0,2,0,81
10,nowosądecki,1 280,216 796,"59,04 / 22,69",14,774,492,7,803,43,64,0,271,1,0,19,0,72
11,nowotarski,603,191 782,"31,44 / 15,64",11,292,300,2,286,70,0,0,3,2,0,0,0,240
12,olkuski,63,111 217,"5,66",0,40,23,4,7,8,0,0,19,0,0,0,0,25
13,oświęcimski,392,153 486,"25,54",6,274,112,2,207,16,0,0,0,0,0,0,0,167
14,proszowicki,38,43 222,"8,79",2,26,10,2,6,7,2,0,0,0,0,0,0,21
15,suski,265,84 232,"31,46",2,249,14,2,136,3,0,0,55,0,0,17,0,52
16,tarnowski,284,201 497,"14,09",9,211,64,6,162,3,56,0,0,0,0,0,0,57
17,tatrzański,274,68 072,"40,25",4,229,41,2,171,13,0,0,12,0,0,0,0,76
18,wadowicki,297,160 006,"18,56",6,191,100,0,178,26,1,0,6,0,0,0,0,86
19,wielicki,287,129 136,"22,22",5,169,112,1,227,9,0,0,1,0,0,0,0,49
20,m. Kraków,1 615,779 115,"20,73",29,861,725,30,389,131,0,0,25,0,0,34,32,974
21,m. Nowy Sącz,497,83 794,"59,31 / 28,40",13,246,238,3,263,17,105,0,102,0,0,7,0,0
22,m. Tarnów,72,108 470,"6,64",0,51,21,8,22,3,0,0,0,0,0,0,0,39
"RazemMałopolska",8 078,3 410 901,"23,68",148,5 044,2 875,86,3 804,497,468,2,574,25,0,109,57,2 456,
