Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 12.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,141,6,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,38,124 536,"3,05",0,28,10,1,19,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,14,108 886,"1,29",0,7,7,1,9,1,0,0,3
6,krakowski,93,279 239,"3,33",1,74,18,4,39,19,0,0,31
7,limanowski,169,131 764,"12,83",4,105,60,0,100,25,0,0,44
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,150,9,0,86,18,0,0,55
10,nowosądecki,222,216 796,"10,24",0,31,191,7,215,0,0,0,0
11,nowotarski,20,191 782,"1,04",0,12,8,2,7,1,0,0,10
12,olkuski,15,111 217,"1,35",0,11,4,1,0,5,0,0,9
13,oświęcimski,110,153 486,"7,17",4,78,28,2,50,13,0,0,45
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,144,50,0,115,0,0,0,79
16,tarnowski,116,201 497,"5,76",3,44,69,3,85,2,22,0,4
17,tatrzański,29,68 072,"4,26",0,5,24,2,19,1,0,0,7
18,wadowicki,40,160 006,"2,50",2,23,15,0,20,4,0,0,16
19,wielicki,129,129 136,"9,99",5,117,6,1,119,9,0,0,0
20,m. Kraków,361,779 115,"4,63",19,263,79,23,109,99,0,0,130
21,m. Nowy Sącz,66,83 794,"7,88",0,28,38,3,62,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,14,0,8,3,2,0,0,1
"RazemMałopolska",2 048,3 410 901,"6,00",45,1 368,630,64,1 144,266,76,2,496,
