Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 14.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,"Uczelnie /akademiki",Wesela,"Puby,kawiarnie,restauracje,kluby","Inne przypadkizachorowań"
1,bocheński,448,106 858,"41,92",30,392,19,3,125,13,240,0,12,17,0,26,0,12
2,brzeski,154,93 201,"16,52",2,127,23,3,33,50,1,2,1,0,0,0,21,43
3,chrzanowski,93,124 536,"7,47",4,64,25,1,38,1,0,0,16,0,0,2,0,35
4,dąbrowski,49,59 174,"8,28",0,46,3,2,38,1,0,0,0,0,0,0,0,8
5,gorlicki,151,108 886,"13,87",2,123,26,2,97,5,0,0,0,5,0,0,0,42
6,krakowski,422,279 239,"15,11",3,280,139,6,130,30,0,0,5,0,0,2,4,245
7,limanowski,593,131 764,"45,00 / 10,40",8,447,137,0,357,29,0,0,0,0,0,0,0,207
8,miechowski,71,48 818,"14,54",0,44,27,0,26,0,0,0,0,0,0,0,0,45
9,myślenicki,370,127 600,"29,00",0,284,86,0,169,23,0,0,63,1,0,2,0,112
10,nowosądecki,1 306,216 796,"60,24 / 18,13",19,894,393,7,823,45,64,1,276,3,0,19,0,68
11,nowotarski,690,191 782,"35,98 / 11,21",12,463,215,2,322,69,0,0,10,7,0,0,0,280
12,olkuski,76,111 217,"6,83",0,55,21,4,7,8,0,0,20,3,0,0,0,34
13,oświęcimski,401,153 486,"26,13",6,346,49,2,210,16,0,0,0,0,0,0,0,173
14,proszowicki,61,43 222,"14,11",3,33,25,2,8,7,21,0,,,,,,23
15,suski,295,84 232,"35,02",2,260,33,2,141,5,,,55,1,,19,,72
16,tarnowski,292,201 497,"14,49",9,256,27,6,162,3,56,,,,,,,65
17,tatrzański,310,68 072,"45,54",4,258,48,2,175,13,0,0,20,5,0,0,0,95
18,wadowicki,323,160 006,"20,19",6,242,75,0,186,28,1,0,7,0,0,0,0,101
19,wielicki,304,129 136,"23,54",6,260,36,1,232,9,0,0,2,0,0,0,0,60
20,m. Kraków,1 850,779 115,"23,74",30,1 291,529,32,464,136,0,0,25,0,0,34,32,1 127
21,m. Nowy Sącz,506,83 794,"60,39 / 25,54",13,279,214,3,272,17,105,0,102,0,0,7,0,
22,m. Tarnów,81,108 470,"7,47",0,63,18,8,22,3,0,0,0,0,0,0,0,48
"RazemMałopolska",8 846,3 410 901,"25,93",159,6 507,2 168,88,4 037,511,488,3,614,42,0,111,57,2 895,
