"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 16.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,450,106 858,"42,11",30,395,18,3,126,13,240,0,12,17,0,0,26,0,0,13
"",2,brzeski,154,93 201,"16,52",2,141,9,3,33,50,2,2,1,0,0,0,0,21,0,42
"",3,chrzanowski,97,124 536,"7,79",4,68,25,1,38,1,0,0,16,0,0,0,2,0,0,39
"",4,dąbrowski,49,59 174,"8,28",0,47,2,2,38,1,0,0,0,0,0,0,0,0,0,8
"",5,gorlicki,153,108 886,"14,05",2,132,19,2,84,5,0,0,0,5,0,0,13,0,0,44
"",6,krakowski,460,279 239,"16,47",3,285,172,6,132,32,0,0,5,2,0,0,2,4,0,277
"",7,limanowski,611,131 764,"46,37 / 10,32",8,466,136,0,357,29,0,0,0,3,0,0,0,0,1,221
"",8,miechowski,72,48 818,"14,75",0,44,28,0,26,0,0,0,0,0,0,0,0,0,0,46
"",9,myślenicki,386,127 600,"30,25",0,293,93,0,173,23,0,0,63,1,0,0,2,0,0,124
"",10,nowosądecki,1 321,216 796,"60,93 / 17,57",20,920,381,7,838,45,64,1,276,3,0,0,19,0,0,68
"",11,nowotarski,724,191 782,"37,75 / 11,58",13,488,222,2,337,69,1,0,16,7,0,0,0,0,0,292
"",12,olkuski,99,111 217,"8,90",0,59,40,4,7,8,0,0,33,3,0,0,0,0,0,44
"",13,oświęcimski,405,153 486,"26,39",6,359,40,2,210,16,0,0,0,0,0,0,0,0,0,177
"",14,proszowicki,62,43 222,"14,34",3,34,25,2,8,7,22,0,0,0,0,0,0,0,0,23
"",15,suski,298,84 232,"35,38",2,265,31,2,142,5,0,0,55,2,0,0,19,0,0,73
"",16,tarnowski,293,201 497,"14,54",9,259,25,6,162,3,56,0,0,0,0,0,0,0,0,66
"",17,tatrzański,321,68 072,"47,16",4,263,54,2,175,13,0,0,23,10,0,0,0,0,0,98
"",18,wadowicki,329,160 006,"20,56",7,248,74,0,186,28,1,0,7,0,0,0,0,0,0,107
"",19,wielicki,304,129 136,"23,54",6,266,30,1,232,9,0,0,2,0,0,0,0,0,0,60
"",20,m. Kraków,1 894,779 115,"24,31",31,1 298,565,33,468,143,0,0,25,2,0,0,34,32,0,1 157
"",21,m. Nowy Sącz,513,83 794,"61,22 / 25,42",13,287,213,3,278,18,105,0,102,0,0,0,7,0,0,0
"",22,m. Tarnów,82,108 470,"7,56",0,64,18,8,22,3,0,0,0,0,0,0,0,0,0,49
"RazemMałopolska",9 077,3 410 901,"26,61",163,6 681,2 220,89,4 072,521,491,3,636,55,0,0,124,57,1,3 028,,
