Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 26.08.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,431,106 858,"40,33 / 17,03",28,214,182,3,121,13,240,0,54
2,brzeski,133,93 201,"14,27",2,68,61,3,23,50,0,2,55
3,chrzanowski,64,124 536,"5,14",0,47,17,1,25,1,,,37
4,dąbrowski,41,59 174,"6,93",0,19,22,2,33,1,0,0,5
5,gorlicki,116,108 886,"10,65",2,20,94,2,79,5,0,0,30
6,krakowski,255,279 239,"9,13",3,108,144,4,84,24,0,0,143
7,limanowski,430,131 764,"32,63 / 18,29",7,182,241,0,269,25,0,0,136
8,miechowski,31,48 818,"6,35",0,15,16,0,16,0,0,0,15
9,myślenicki,256,127 600,"20,06",0,206,50,0,136,20,0,0,100
10,nowosądecki,1 102,216 796,"50,83 / 33,35",12,367,723,7,1 095,0,0,0,0
11,nowotarski,453,191 782,"23,62 / 18,67",5,90,358,2,234,50,0,0,167
12,olkuski,46,111 217,"4,14",0,20,26,3,2,8,0,0,33
13,oświęcimski,344,153 486,"22,41",6,194,144,2,173,16,0,0,153
14,proszowicki,30,43 222,"6,94",2,14,14,0,5,7,2,,16
15,suski,251,84 232,"29,80",2,210,39,0,150,2,0,0,99
16,tarnowski,261,201 497,"12,95",7,114,140,6,153,3,56,0,43
17,tatrzański,246,68 072,"36,14 / 19,10",2,114,130,2,160,13,0,0,71
18,wadowicki,221,160 006,"13,81",5,131,85,0,153,7,0,0,61
19,wielicki,252,129 136,"19,51",5,134,112,1,210,9,0,0,32
20,m. Kraków,1 297,779 115,"16,65 / 10,20",24,478,795,28,287,119,0,0,863
21,m. Nowy Sącz,439,83 794,"52,39 / 39,62",7,100,332,3,435,1,0,0,0
22,m. Tarnów,57,108 470,"5,25",0,21,36,8,20,3,0,0,26
"RazemMałopolska",6 756,3 410 901,"19,81 / 11,03",119,2 866,3 761,77,3 863,377,298,2,2 139,
