Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 27.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,"1)Ludność","Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,338,106 858,"31,63 / 17,31",7,144,185,3,80,12,221,0,22
2,brzeski,71,93 201,"7,62",2,64,3,3,5,48,0,2,13
3,chrzanowski,39,124 536,"3,13",0,33,6,1,18,0,0,0,20
4,dąbrowski,17,59 174,"2,87",0,11,6,2,14,1,0,0,0
5,gorlicki,29,108 886,"2,66",0,8,21,1,23,1,0,0,4
6,krakowski,103,279 239,"3,69",1,81,21,4,45,19,0,0,35
7,limanowski,208,131 764,"15,79",5,111,92,0,124,25,0,0,59
8,miechowski,19,48 818,"3,89",0,12,7,0,11,0,0,0,8
9,myślenicki,174,127 600,"13,64",0,154,20,0,92,18,0,0,64
10,nowosądecki,518,216 796,"23,89 / 20,80",1,66,451,7,511,0,0,0,0
11,nowotarski,53,191 782,"2,76",0,12,41,2,29,1,0,0,21
12,olkuski,15,111 217,"1,35",0,12,3,1,0,5,0,0,9
13,oświęcimski,187,153 486,"12,18",4,89,94,2,89,14,0,0,82
14,proszowicki,17,43 222,"3,93",2,9,6,0,2,5,1,,9
15,suski,216,84 232,"25,64",0,182,34,0,131,2,0,0,83
16,tarnowski,127,201 497,"6,30",3,88,36,6,85,2,23,0,11
17,tatrzański,103,68 072,"15,13 / 14,25",0,6,97,2,72,1,0,0,28
18,wadowicki,142,160 006,"8,87",3,29,110,0,104,4,0,0,34
19,wielicki,143,129 136,"11,07",5,121,16,1,131,9,0,0,2
20,m. Kraków,446,779 115,"5,72",19,309,118,27,137,100,0,0,182
21,m. Nowy Sącz,145,83 794,"17,30 / 12,53",1,39,105,3,141,1,0,0,0
22,m. Tarnów,22,108 470,"2,03",0,15,7,8,3,3,0,0,8
"RazemMałopolska",3 132,3 410 901,"9,18",53,1 595,1 479,73,1 847,271,245,2,694,
