Ogniska zakażeń w powiatach,,,,,,,,,,,,,
Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 3.07.2020 r. na godz. 8:00,,,,,,,,,,,
"",,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL","Inne przypadkizachorowań"
1,bocheński,152,106 858,"14,22",3,140,7,2,65,12,54,0,19
2,brzeski,69,93 201,"7,40",2,64,1,2,5,48,0,2,12
3,chrzanowski,37,124 536,"2,97",0,23,14,1,18,0,0,0,18
4,dąbrowski,15,59 174,"2,53",0,11,4,2,12,1,0,0,0
5,gorlicki,10,108 886,"0,92",0,7,3,1,6,1,0,0,2
6,krakowski,86,279 239,"3,08",1,64,21,4,38,19,0,0,25
7,limanowski,125,131 764,"9,49",3,104,18,0,68,25,0,0,32
8,miechowski,12,48 818,"2,46",0,12,0,0,5,0,0,0,7
9,myślenicki,159,127 600,"12,46",0,149,10,0,86,18,0,0,55
10,nowosądecki,119,216 796,"5,49",0,31,88,7,112,0,0,0,0
11,nowotarski,14,191 782,"0,73",0,9,5,2,4,1,0,0,7
12,olkuski,13,111 217,"1,17",0,10,3,1,0,5,0,0,7
13,oświęcimski,107,153 486,"6,97",4,70,33,2,48,13,0,0,44
14,proszowicki,11,43 222,"2,55",2,6,3,0,0,5,0,0,6
15,suski,194,84 232,"23,03",0,112,82,0,115,0,0,0,79
16,tarnowski,113,201 497,"5,61",3,24,86,3,82,2,22,0,4
17,tatrzański,7,68 072,"1,03",0,4,3,1,4,1,0,0,1
18,wadowicki,34,160 006,"2,12",2,17,15,0,16,4,0,0,14
19,wielicki,127,129 136,"9,83",5,116,5,1,117,9,0,0,0
20,m. Kraków,344,779 115,"4,42",19,249,76,23,104,99,0,0,118
21,m. Nowy Sącz,43,83 794,"5,13",0,28,15,3,39,1,0,0,0
22,m. Tarnów,14,108 470,"1,29",0,12,2,8,3,2,0,0,1
"RazemMałopolska",1 805,3 410 901,"5,29",44,1 262,494,63,947,266,76,2,451,
