"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 30.09.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,,
"",,,Ogółem,1)Ludność,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,487,106 858,"45,57",30,403,47,3,129,13,240,0,12,23,0,0,31,0,0,36
"",2,brzeski,172,93 201,"18,45",2,151,17,3,33,50,11,2,2,0,0,0,0,21,0,50
"",3,chrzanowski,144,124 536,"11,56",4,91,49,1,39,11,0,0,16,0,0,0,8,0,0,69
"",4,dąbrowski,67,59 174,"11,32",0,52,15,2,40,2,0,0,0,0,0,0,0,0,0,23
"",5,gorlicki,166,108 886,"15,25",2,146,18,2,84,7,0,0,0,7,0,0,13,0,0,53
"",6,krakowski,632,279 239,"22,63",6,507,119,6,168,39,13,0,5,4,0,0,2,4,0,391
"",7,limanowski,769,131 764,"58,36 / 19,43",9,503,256,0,367,29,28,0,0,10,0,0,0,0,1,334
"",8,miechowski,100,48 818,"20,48",0,68,32,0,30,0,0,0,0,0,0,0,0,0,0,70
"",9,myślenicki,629,127 600,"49,29 / 18,10",1,397,231,0,216,26,19,0,73,7,0,0,2,0,0,286
"",10,nowosądecki,1 459,216 796,"67,30",24,1 253,182,7,919,68,64,1,287,22,0,0,20,0,0,71
"",11,nowotarski,978,191 782,"51,00 / 18,35",20,603,352,2,371,81,24,0,28,7,0,0,0,0,1,464
"",12,olkuski,168,111 217,"15,11",1,103,64,4,15,8,0,0,49,11,0,0,0,0,0,81
"",13,oświęcimski,453,153 486,"29,51",8,394,51,2,216,17,0,0,0,0,0,0,0,0,0,218
"",14,proszowicki,76,43 222,"17,58",3,44,29,2,8,9,26,0,0,0,0,0,0,0,0,31
"",15,suski,378,84 232,"44,88",3,320,55,2,162,5,0,0,60,4,0,0,19,0,0,126
"",16,tarnowski,322,201 497,"15,98",9,281,31,6,162,11,56,0,0,0,0,0,0,0,0,87
"",17,tatrzański,449,68 072,"65,96 / 18,36",6,317,125,2,179,34,26,0,28,25,0,0,0,0,0,155
"",18,wadowicki,439,160 006,"27,44",7,300,132,0,195,33,25,0,14,1,0,0,0,0,0,171
"",19,wielicki,358,129 136,"27,72",6,297,53,1,232,9,0,0,2,0,0,0,0,0,0,114
"",20,m. Kraków,2 303,779 115,"29,56",37,1 843,422,33,502,197,3,4,43,6,0,0,34,32,0,1 449
"",21,m. Nowy Sącz,565,83 794,"67,43",16,475,74,3,310,27,106,0,108,3,0,0,7,0,0,1
"",22,m. Tarnów,102,108 470,"9,40",1,85,16,8,22,8,0,0,0,0,0,0,0,0,0,64
"RazemMałopolska",11 216,3 410 901,"32,88",195,8 633,2 370,89,4 399,684,641,7,727,130,0,0,136,57,2,4 344,,
