"",Ogniska zakażeń w powiatach,,,,,,,,,,,,,,,,,,,
"",Lp.,Powiat,Liczba potwierdzonych przypadków COVID-19 stan w dniu 7.10.2020 r. na godz. 8:00,,,,,,,,,,,,,,,,,
"",,,Ogółem,"Zapadalność /Aktywneprzypadki(na 10 000)","Liczbazgonów","Liczbawyleczonych","Liczbaaktywnych3)przypadków","Osoby zkwarantannypo powrociez zagranicy","Osoby zkwarantanny pokontakcie zosobą zakażoną","Zachorowaniapoprzez kontaktw szpitalu lubprzychodni","Zachorowaniaw DPS","Zachorowaniaw ZOL",Zakłady pracy,Szkoły,Uczelnie,Akademiki,Wesela,"Puby,kawiarnie,restauracje,kluby","Transportpubliczny","Inne przypadkizachorowań"
"",1,bocheński,528,"49,41",30,423,67,3,135,23,240,0,12,23,0,0,31,0,0,61
"",2,brzeski,203,"21,78",2,156,43,3,37,63,12,2,2,0,0,0,0,21,0,63
"",3,chrzanowski,213,"17,10",4,102,107,1,40,20,23,2,16,0,0,0,8,0,0,103
"",4,dąbrowski,76,"12,84",1,55,20,2,41,4,0,0,0,0,0,0,0,0,0,29
"",5,gorlicki,195,"17,91",2,155,38,2,92,9,0,0,0,10,0,0,13,0,0,69
"",6,krakowski,718,"25,71",6,612,100,6,177,45,14,0,12,4,0,0,2,4,0,454
"",7,limanowski,887,"67,32 / 13,51",10,698,178,0,367,29,34,0,0,10,0,0,0,0,1,446
"",8,miechowski,124,"25,40",1,78,45,0,37,0,0,0,3,0,0,0,0,0,0,84
"",9,myślenicki,807,"63,24 / 25,16",2,484,321,0,239,29,24,0,76,16,0,0,2,0,0,421
"",10,nowosądecki,1 549,"71,45",28,1 345,176,7,967,85,64,1,303,27,0,0,20,0,0,75
"",11,nowotarski,1 131,"58,97 / 21,22",21,700,407,2,394,83,25,0,35,7,0,0,0,0,1,584
"",12,olkuski,219,"19,69",1,141,77,4,15,8,1,1,51,15,0,0,2,0,0,122
"",13,oświęcimski,544,"35,44",8,411,125,2,220,42,4,0,0,0,0,0,0,0,0,276
"",14,proszowicki,80,"18,51",3,58,19,2,8,9,27,0,0,0,0,0,0,0,0,34
"",15,suski,456,"54,14 / 10,57",7,360,89,2,162,5,15,0,62,7,0,0,19,0,0,184
"",16,tarnowski,362,"17,97",9,283,69,6,166,13,56,0,0,0,0,0,0,0,0,121
"",17,tatrzański,548,"80,50 / 28,06",9,346,191,2,181,50,39,0,39,32,0,0,0,0,0,205
"",18,wadowicki,532,"33,25 / 11,75",9,335,188,0,206,43,53,0,16,12,0,0,0,0,0,202
"",19,wielicki,430,"33,30",7,306,115,1,246,9,0,0,2,0,0,0,0,0,0,172
"",20,m. Kraków,2 769,"35,54",39,2 261,468,33,519,210,4,16,54,13,0,32,34,32,0,1 822
"",21,m. Nowy Sącz,600,"71,60",18,514,68,3,330,33,106,0,115,4,0,0,7,0,0,2
"",22,m. Tarnów,129,"11,89",1,85,43,8,27,8,0,0,0,0,0,0,0,0,0,86
"RazemMałopolska",13 100,"38,41",218,9 908,2 954,89,4 606,820,741,22,798,180,0,32,138,57,2,5 615,,
