data,id,nazwa,ogolem,liczba_zgonow,liczba_wyleczonych,osoby_z_kwarantanny_po_powrocie_z_zagranicy,osoby_z_kwarantanny_po_kontakcie_z_osoba_zakazona,zachorowania_poprzez_kontakt_w_szpitalu_lub_przychodni,zachorowania_w_dps,zachorowania_w_zol,zaklady_pracy,szkoly,uczelnie,akademiki,wesela,puby_kawiarnie_restauracje_kluby,transport_publiczny,inne_przypadki_zachorowan
2020-06-27,1,bocheński,152,3,139,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-06-27,2,brzeski,68,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,11
2020-06-27,3,chrzanowski,37,0,19,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-06-27,4,dąbrowski,11,0,11,2,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-27,5,gorlicki,7,0,7,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-06-27,6,krakowski,86,1,61,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-06-27,7,limanowski,117,3,97,0,64,25,0,0,NA,NA,NA,NA,NA,NA,NA,28
2020-06-27,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-27,9,myślenicki,156,0,149,0,83,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-06-27,10,nowosądecki,42,0,30,7,35,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-27,11,nowotarski,13,0,9,2,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-27,12,olkuski,11,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,5
2020-06-27,13,oświęcimski,102,4,58,2,45,13,0,0,NA,NA,NA,NA,NA,NA,NA,42
2020-06-27,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-06-27,15,suski,194,0,90,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-06-27,16,tarnowski,108,3,16,3,77,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-06-27,17,tatrzański,6,0,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-27,18,wadowicki,32,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,12
2020-06-27,19,wielicki,127,5,112,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-27,20,m. Kraków,332,19,245,22,103,99,0,0,NA,NA,NA,NA,NA,NA,NA,108
2020-06-27,21,m. Nowy Sącz,29,0,28,3,25,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-27,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-28,1,bocheński,152,3,139,2,65,12,54,0,NA,NA,NA,NA,NA,NA,NA,19
2020-06-28,2,brzeski,68,2,64,2,5,48,0,2,NA,NA,NA,NA,NA,NA,NA,11
2020-06-28,3,chrzanowski,37,0,19,1,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,18
2020-06-28,4,dąbrowski,11,0,11,2,8,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-28,5,gorlicki,7,0,7,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,2
2020-06-28,6,krakowski,86,1,61,4,38,19,0,0,NA,NA,NA,NA,NA,NA,NA,25
2020-06-28,7,limanowski,119,3,97,0,66,25,0,0,NA,NA,NA,NA,NA,NA,NA,28
2020-06-28,8,miechowski,12,0,12,0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-28,9,myślenicki,156,0,149,0,83,18,0,0,NA,NA,NA,NA,NA,NA,NA,55
2020-06-28,10,nowosądecki,54,0,30,7,47,0,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-28,11,nowotarski,13,0,9,2,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,7
2020-06-28,12,olkuski,11,0,10,1,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,5
2020-06-28,13,oświęcimski,103,4,58,2,46,13,0,0,NA,NA,NA,NA,NA,NA,NA,42
2020-06-28,14,proszowicki,11,2,6,0,0,5,0,0,NA,NA,NA,NA,NA,NA,NA,6
2020-06-28,15,suski,194,0,90,0,115,0,0,0,NA,NA,NA,NA,NA,NA,NA,79
2020-06-28,16,tarnowski,108,3,16,3,77,2,22,0,NA,NA,NA,NA,NA,NA,NA,4
2020-06-28,17,tatrzański,6,0,3,1,3,1,0,0,NA,NA,NA,NA,NA,NA,NA,1
2020-06-28,18,wadowicki,32,2,14,0,16,4,0,0,NA,NA,NA,NA,NA,NA,NA,12
2020-06-28,19,wielicki,127,5,112,1,117,9,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-28,20,m. Kraków,335,19,246,22,104,99,0,0,NA,NA,NA,NA,NA,NA,NA,110
2020-06-28,21,m. Nowy Sącz,29,0,28,3,25,1,0,0,NA,NA,NA,NA,NA,NA,NA,0
2020-06-28,22,m. Tarnów,14,0,12,8,3,2,0,0,NA,NA,NA,NA,NA,NA,NA,1
