zmiana,data,ognisko_typ,liczba
1,2020-10-15,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-15,dps,91
1,2020-10-15,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-15,szpitalem,13
1,2020-10-15,szkołą i kościołem,84
1,2020-10-15,szpitalem rehabilitacyjnym,79
1,2020-10-15,zakładem pracy,6
1,2020-10-15,terapią,4
1,2020-10-15,zakładem pracy,3
1,2020-10-15,zakładem opiekuńczo,35
1,2020-10-15,zakładem pracy,21
1,2020-10-15,zakładem pracy,13
1,2020-10-15,szpitalem,20
1,2020-10-15,szkołą i przedszkolem,18
1,2020-10-15,szpitalem,4
1,2020-10-15,przedszkolem,11
1,2020-10-15,szkołą,11
1,2020-10-15,wycieczką,33
1,2020-10-15,szkołą,8
1,2020-10-15,szkołą,3
1,2020-10-15,szkołą,7
1,2020-10-15,szpitalem,12
1,2020-10-15,zakładem pracy,3
1,2020-10-15,zakładem pracy,5
1,2020-10-15,zespołem szkół,3
1,2020-10-15,zespołem szkół,7
1,2020-10-15,szkołą,2
1,2020-10-15,zakładem pracy,15
1,2020-10-15,szkołą,4
1,2020-10-15,weselem i przedszkolem,12
1,2020-10-15,zakładem pracy,5
1,2020-10-15,szkołą,8
1,2020-10-15,szpitalem,4
1,2020-10-15,zakładem pracy w gdyni,10
1,2020-10-15,zakładem pracy w gdyni,3
1,2020-10-15,przychodnią,3
1,2020-10-15,przedszkolem,4
1,2020-10-15,domem pomocy społecznej,34
1,2020-10-15,zakładem pracy,3
1,2020-10-15,wycieczką,16
1,2020-10-15,szpitalem,5
1,2020-10-15,zakładem pracy,6
1,2020-10-15,zakładem pracy,17
1,2020-10-15,szpitalem,7
1,2020-10-15,2 zakładami pracy,15
1,2020-10-15,szkołą,10
1,2020-10-15,wycieczką,75
1,2020-10-15,zakładem pracy,9
1,2020-10-15,szkołą,5
1,2020-10-15,zespołem kształcenia,22
1,2020-10-15,szkołą,5
1,2020-10-15,szpitalem,72
1,2020-10-15,domem pomocy społecznej,21
1,2020-10-15,przedszkolem,7
1,2020-10-15,zakładem pracy,3
1,2020-10-15,przedszkolem,4
1,2020-10-15,domem pomocy społecznej,98
1,2020-10-15,szpitalem,73
1,2020-10-15,specjalnym ośrodkiem szkolno,7
1,2020-10-15,podmiotem leczniczym,3
1,2020-10-15,przedszkolem,4
1,2020-10-15,szkołą,10
1,2020-10-15,zakładem pracy,8
1,2020-10-15,zakładem opiekuńczo,29
1,2020-10-15,zakładem pracy,3
1,2020-10-15,ośrodkiem pomocy,9
1,2020-10-15,żłobkiem i przedszkolem,2
1,2020-10-15,szkołą,7
1,2020-10-15,domem pomocy społecznej,2
1,2020-10-15,zakładem pracy,10
1,2020-10-15,hospicjum,4
1,2020-10-15,przychodnią,5
1,2020-10-15,domem pomocy społecznej,18
1,2020-10-15,drużyną sportow,8
1,2020-10-15,zakładem pracy,22
1,2020-10-15,zakładem pracy,2
1,2020-10-15,zakładem pracy,2
1,2020-10-15,szkołą,2
1,2020-10-15,zakładem pracy,5
1,2020-10-15,domem pomocy,20
1,2020-10-15,zakładem pracy,6
1,2020-10-15,zakładem pracy,14
1,2020-10-15,szkołą,12
1,2020-10-15,szpitalem,7
1,2020-10-15,szpitalem,6
1,2020-10-15,zakładem pracy,10
1,2020-10-15,domem opieki,4
1,2020-10-15,zakładem pracy,17
1,2020-10-15,zakładem pracy,4
1,2020-10-15,szkołą,6
1,2020-10-15,szpitalem,14
1,2020-10-15,szkołą,2
1,2020-10-15,domem opieki,36
1,2020-10-15,szkołą,2
1,2020-10-15,szpitalem,17
1,2020-10-15,zakładem pracy,12
1,2020-10-15,zakładem pracy,5
1,2020-10-15,zakładem pracy,3
1,2020-10-15,zakładem pracy,5
1,2020-10-15,zakładem pracy,3
1,2020-10-15,szkołą,5
1,2020-10-15,przedszkolem,11
1,2020-10-15,szpitalem,8
1,2020-10-15,przedszkolem,4
1,2020-10-15,zakładem pracy,3
1,2020-10-15,szpitalem,2
1,2020-10-15,przychodnią,2
1,2020-10-15,stacją dializ,12
1,2020-10-15,przychodnią,6
1,2020-10-15,zakładem pracy,2
1,2020-10-15,zol,2
1,2020-10-15,zakładem pracy,4
1,2020-10-15,zakładem pracy,3
1,2020-10-15,drużyną sportową,6
1,2020-10-15,zol,3
1,2020-10-15,szkołą,7
1,2020-10-15,zakładem pracy,3
1,2020-10-15,seminarium duchownym,21
1,2020-10-15,domem dziecka,2
1,2020-10-15,szkołą,4
1,2020-10-15,szkołą,2
1,2020-10-15,domem opieki społecznej,2
1,2020-10-15,szpitalem,3
1,2020-10-15,szkołą,3
1,2020-10-15,szpitalem,2
1,2020-10-15,domem opieki społecznej,16
1,2020-10-15,zakładem pracy,5
1,2020-10-15,zakładem pracy,3
1,2020-10-15,przedszkolem,3
1,2020-10-15,przedszkolem,2
1,2020-10-15,szkołą,3
1,2020-10-15,zakładem pracy,4
1,2020-10-15,zakładem pracy,2
1,2020-10-15,zakładem pracy,5
1,2020-10-15,szkołą,15
1,2020-10-15,przedszkolem,4
1,2020-10-15,ośrodkiem wychowawczym,33
1,2020-10-15,stacją dializ,3
1,2020-10-15,domem opieki,4
1,2020-10-15,zakładem pracy,10
1,2020-10-15,szkołą,9
1,2020-10-15,zakładem pracy,4
1,2020-10-15,zakładem pracy,2
1,2020-10-15,domem pomocy społecznej,28
1,2020-10-15,zakładem pracy,2
1,2020-10-15,szkołą,13
1,2020-10-15,domem samopomocy,8
1,2020-10-15,domem samopomocy,5
1,2020-10-15,szpitalem,4
1,2020-10-15,szpitalem,6
1,2020-10-15,szpitalem,3
1,2020-10-15,zakładem pracy,4
1,2020-10-15,ośrodkiem pomocy społecznej,3
1,2020-10-15,ognisko z zakładem pracy,2
1,2020-10-15,przedszkolem,5
1,2020-10-15,pośrednictwem pracy,5
1,2020-10-15,szpitalem,6
1,2020-10-15,klubem sportowym,3
1,2020-10-15,szkołą,2
1,2020-10-15,szpitalem,2
1,2020-10-15,zakładem pracy,3
1,2020-10-15,zakładem pracy,5
1,2020-10-15,szpitalem,13
1,2020-10-15,kultem religijnym,3
1,2020-10-15,szpitalem,2
1,2020-10-15,zakładem pracy,2
1,2020-10-14,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-14,dps,91
1,2020-10-14,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-14,szpitalem,13
1,2020-10-14,szkołą i kościołem,84
1,2020-10-14,szpitalem rehabilitacyjnym,79
1,2020-10-14,zakładem pracy,6
1,2020-10-14,terapią,4
1,2020-10-14,zakładem pracy,3
1,2020-10-14,zakładem opiekuńczo,35
1,2020-10-14,zakładem pracy,21
1,2020-10-14,zakładem pracy,13
1,2020-10-14,szpitalem,20
1,2020-10-14,szkołą i przedszkolem,18
1,2020-10-14,szpitalem,4
1,2020-10-14,przedszkolem,11
1,2020-10-14,szkołą,11
1,2020-10-14,wycieczką,33
1,2020-10-14,szkołą,8
1,2020-10-14,szkołą,3
1,2020-10-14,szkołą,7
1,2020-10-14,szpitalem,12
1,2020-10-14,zakładem pracy,3
1,2020-10-14,zakładem pracy,5
1,2020-10-14,zespołem szkół,3
1,2020-10-14,zespołem szkół,7
1,2020-10-14,szkołą,2
1,2020-10-14,zakładem pracy,15
1,2020-10-14,szkołą,4
1,2020-10-14,weselem i przedszkolem,12
1,2020-10-14,zakładem pracy,5
1,2020-10-14,szkołą,8
1,2020-10-14,szpitalem,4
1,2020-10-14,zakładem pracy w gdyni,10
1,2020-10-14,zakładem pracy w gdyni,3
1,2020-10-14,przychodnią,3
1,2020-10-14,przedszkolem,4
1,2020-10-14,domem pomocy społecznej,34
1,2020-10-14,zakładem pracy,3
1,2020-10-14,wycieczką,16
1,2020-10-14,szpitalem,5
1,2020-10-14,zakładem pracy,6
1,2020-10-14,zakładem pracy,17
1,2020-10-14,szpitalem,6
1,2020-10-14,2 zakładami pracy,15
1,2020-10-14,szkołą,10
1,2020-10-14,wycieczką,75
1,2020-10-14,zakładem pracy,9
1,2020-10-14,szkołą,5
1,2020-10-14,zespołem kształcenia,22
1,2020-10-14,szkołą,5
1,2020-10-14,szpitalem,78
1,2020-10-14,domem pomocy społecznej,21
1,2020-10-14,przedszkolem,7
1,2020-10-14,zakładem pracy,3
1,2020-10-14,przedszkolem,4
1,2020-10-14,domem pomocy społecznej,98
1,2020-10-14,szpitalem,65
1,2020-10-14,specjalnym ośrodkiem szkolno,7
1,2020-10-14,podmiotem leczniczym,3
1,2020-10-14,przedszkolem,4
1,2020-10-14,szkołą,10
1,2020-10-14,zakładem pracy,8
1,2020-10-14,zakładem opiekuńczo,29
1,2020-10-14,zakładem pracy,3
1,2020-10-14,ośrodkiem pomocy,9
1,2020-10-14,żłobkiem i przedszkolem,2
1,2020-10-14,szkołą,7
1,2020-10-14,domem pomocy społecznej,2
1,2020-10-14,zakładem pracy,10
1,2020-10-14,hospicjum,4
1,2020-10-14,przychodnią,5
1,2020-10-14,domem pomocy społecznej,17
1,2020-10-14,drużyną sportow,8
1,2020-10-14,zakładem pracy,22
1,2020-10-14,zakładem pracy,2
1,2020-10-14,zakładem pracy,2
1,2020-10-14,szkołą,2
1,2020-10-14,zakładem pracy,4
1,2020-10-14,domem pomocy,20
1,2020-10-14,zakładem pracy,6
1,2020-10-14,zakładem pracy,13
1,2020-10-14,szkołą,12
1,2020-10-14,szpitalem,7
1,2020-10-14,szpitalem,6
1,2020-10-14,zakładem pracy,10
1,2020-10-14,domem opieki,4
1,2020-10-14,zakładem pracy,15
1,2020-10-14,zakładem pracy,4
1,2020-10-14,szkołą,6
1,2020-10-14,szpitalem,14
1,2020-10-14,szkołą,2
1,2020-10-14,domem opieki,32
1,2020-10-14,szkołą,2
1,2020-10-14,szpitalem,16
1,2020-10-14,zakładem pracy,12
1,2020-10-14,zakładem pracy,4
1,2020-10-14,zakładem pracy,2
1,2020-10-14,zakładem pracy,5
1,2020-10-14,zakładem pracy,2
1,2020-10-14,szkołą,5
1,2020-10-14,przedszkolem,11
1,2020-10-14,szpitalem,8
1,2020-10-14,przedszkolem,4
1,2020-10-14,zakładem pracy,3
1,2020-10-14,szpitalem,2
1,2020-10-14,przychodnią,2
1,2020-10-14,stacją dializ,11
1,2020-10-14,przychodnią,6
1,2020-10-14,zakładem pracy,2
1,2020-10-14,zol,2
1,2020-10-14,zakładem pracy,3
1,2020-10-14,zakładem pracy,3
1,2020-10-14,drużyną sportową,6
1,2020-10-14,zol,3
1,2020-10-14,szkołą,7
1,2020-10-14,zakładem pracy,3
1,2020-10-14,seminarium duchownym,21
1,2020-10-14,domem dziecka,2
1,2020-10-14,szkołą,2
1,2020-10-14,szkołą,2
1,2020-10-14,domem opieki społecznej,2
1,2020-10-14,szpitalem,3
1,2020-10-14,szkołą,3
1,2020-10-14,szpitalem,2
1,2020-10-14,domem opieki społecznej,16
1,2020-10-14,zakładem pracy,5
1,2020-10-14,zakładem pracy,3
1,2020-10-14,przedszkolem,3
1,2020-10-14,przedszkolem,2
1,2020-10-14,szkołą,3
1,2020-10-14,zakładem pracy,4
1,2020-10-14,zakładem pracy,2
1,2020-10-14,zakładem pracy,5
1,2020-10-14,szkołą,9
1,2020-10-14,przedszkolem,4
1,2020-10-14,ośrodkiem wychowawczym,9
1,2020-10-14,stacją dializ,3
1,2020-10-14,domem opieki,2
1,2020-10-14,zakładem pracy,9
1,2020-10-14,szkołą,5
1,2020-10-14,zakładem pracy,3
1,2020-10-14,zakładem pracy,2
1,2020-10-14,domem pomocy społecznej,28
1,2020-10-14,zakładem pracy,2
1,2020-10-14,szkołą,11
1,2020-10-14,domem samopomocy,8
1,2020-10-14,domem samopomocy,4
1,2020-10-14,szpitalem,3
1,2020-10-14,szpitalem,4
1,2020-10-14,szpitalem,3
1,2020-10-14,zakładem pracy,2
1,2020-10-13,"weselem w powiecie gdańskim, szkołą w powiecie kościerskim, zakładem pracy w powiecie kartuskim",28
1,2020-10-13,dps,91
1,2020-10-13,imprezami urodzinowymi (uczniowie lo),33
1,2020-10-13,szpitalem,13
1,2020-10-13,szkołą i kościołem,84
1,2020-10-13,szpitalem rehabilitacyjnym,79
1,2020-10-13,zakładem pracy,6
1,2020-10-13,terapią,4
1,2020-10-13,zakładem pracy,3
1,2020-10-13,zakładem opiekuńczo,35
1,2020-10-13,zakładem pracy,21
1,2020-10-13,zakładem pracy,13
1,2020-10-13,szpitalem,20
1,2020-10-13,szkołą i przedszkolem,18
1,2020-10-13,szpitalem,4
1,2020-10-13,przedszkolem,11
1,2020-10-13,szkołą,11
1,2020-10-13,wycieczką,33
1,2020-10-13,szkołą,8
1,2020-10-13,szkołą,3
1,2020-10-13,szkołą,7
1,2020-10-13,szpitalem,12
1,2020-10-13,zakładem pracy,3
1,2020-10-13,zakładem pracy,5
1,2020-10-13,zespołem szkół,3
1,2020-10-13,zespołem szkół,7
1,2020-10-13,szkołą,2
1,2020-10-13,zakładem pracy,15
1,2020-10-13,szkołą,4
1,2020-10-13,weselem i przedszkolem,12
1,2020-10-13,zakładem pracy,5
1,2020-10-13,szkołą,8
1,2020-10-13,szpitalem,4
1,2020-10-13,zakładem pracy w gdyni,10
1,2020-10-13,zakładem pracy w gdyni,3
1,2020-10-13,przychodnią,3
1,2020-10-13,przedszkolem,4
1,2020-10-13,domem pomocy społecznej,34
1,2020-10-13,zakładem pracy,3
1,2020-10-13,wycieczką,16
1,2020-10-13,szpitalem,5
1,2020-10-13,zakładem pracy,6
1,2020-10-13,zakładem pracy,16
1,2020-10-13,szpitalem,6
1,2020-10-13,2 zakładami pracy,15
1,2020-10-13,szkołą,10
1,2020-10-13,wycieczką,75
1,2020-10-13,zakładem pracy,9
1,2020-10-13,szkołą,5
1,2020-10-13,zespołem kształcenia,22
1,2020-10-13,szkołą,5
1,2020-10-13,szpitalem,76
1,2020-10-13,domem pomocy społecznej,21
1,2020-10-13,przedszkolem,7
1,2020-10-13,zakładem pracy,3
1,2020-10-13,przedszkolem,4
